id,name,date,venue,location,attendance
209,UFC 147: Silva vs. Franklin II,2012-06-23,Mineirinho Arena,"Belo Horizonte, Brazil",16643.0
210,UFC 148: Silva vs. Sonnen II,2012-07-07,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",15104.0
211,UFC on Fuel TV: Muñoz vs. Weidman,2012-07-11,SAP Center,"San Jose, California, U.S.",4250.0
212,UFC 149: Faber vs. Barão,2012-07-21,Scotiabank Saddledome,"Calgary, Alberta, Canada",16089.0
213,UFC on Fox: Shogun vs. Vera,2012-08-04,Crypto.com Arena,"Los Angeles, California, U.S.",16080.0
214,UFC 150: Henderson vs. Edgar II,2012-08-11,Ball Arena,"Denver, Colorado, U.S.",13027.0
215,UFC 152: Jones vs. Belfort,2012-09-22,Scotiabank Arena,"Toronto, Ontario, Canada",16800.0
216,UFC on Fuel TV: Struve vs. Miocic,2012-09-29,Motorpoint Arena,"Nottingham, England, UK",7241.0
217,UFC on FX: Browne vs. Bigfoot,2012-10-05,Target Center,"Minneapolis, Minnesota, U.S.",7049.0
218,UFC 153: Silva vs. Bonnar,2012-10-13,Farmasi Arena,"Rio de Janeiro, Brazil",16844.0
219,UFC on Fuel TV: Franklin vs. Le,2012-11-10,Cotai Arena,"Macau, China",8415.0
220,UFC 154: St-Pierre vs. Condit,2012-11-17,Bell Centre,"Montreal, Quebec, Canada",17249.0
221,UFC on Fox: Henderson vs. Diaz,2012-12-08,Climate Pledge Arena,"Seattle, Washington, U.S.",14387.0
222,UFC on FX: Sotiropoulos vs. Pearson,2012-12-15,Gold Coast Convention and Exhibition Centre,"Gold Coast, Australia",5133.0
223,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-15,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",2500.0
224,UFC 155: dos Santos vs. Velasquez 2,2012-12-29,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",13561.0
225,UFC on FX: Belfort vs. Bisping,2013-01-19,Ginásio do Ibirapuera,"São Paulo, Brazil",9116.0
